序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
66|003000|劲仔食品|27|24.0|3.0|0.0|0.0|0.0|0.646107932017|0.556107142857|0.68475|0.806392857143
67|603983|丸美生物|26|12.0|14.0|0.0|0.0|0.0|0.851941914539|1.007692307692|1.265384615385|1.5592
68|601127|赛力斯|26|23.0|3.0|0.0|0.0|0.0|3.413315883475|5.659222222222|7.665296296296|9.323037037037
69|000425|徐工机械|26|20.0|6.0|0.0|0.0|0.0|0.508477182403|0.646423076923|0.818230769231|1.00956
70|600060|海信视像|26|15.0|11.0|0.0|0.0|0.0|1.721275909357|1.947692307692|2.186230769231|2.43184
71|300633|开立医疗|26|14.0|12.0|0.0|0.0|0.0|0.329080873219|0.607037037037|0.919259259259|1.200384615385
72|601058|赛轮轮胎|26|20.0|6.0|0.0|0.0|0.0|1.235568773057|1.240769230769|1.487846153846|1.75436
73|603919|金徽酒|26|12.0|14.0|0.0|0.0|0.0|0.76518647391|0.745769230769|0.813461538462|0.9164
74|300973|立高食品|26|18.0|8.0|0.0|0.0|0.0|1.582419712965|2.0|2.396153846154|2.7836
75|603259|药明康德|26|23.0|3.0|0.0|0.0|0.0|3.167251199362|5.138518518519|5.238148148148|6.104230769231
76|002223|鱼跃医疗|26|19.0|6.0|1.0|0.0|0.0|1.801239113863|1.967777777778|2.282481481481|2.636384615385
77|300014|亿纬锂能|26|21.0|5.0|0.0|0.0|0.0|1.964976666898|2.238769230769|3.572192307692|4.546
78|002648|卫星化学|26|21.0|5.0|0.0|0.0|0.0|1.802456021568|1.699038461538|2.147846153846|2.629
79|601088|中国神华|26|19.0|7.0|0.0|0.0|0.0|2.952962783986|2.617307692308|2.718846153846|2.7924
80|002003|伟星股份|26|21.0|5.0|0.0|0.0|0.0|0.58935356256|0.579615384615|0.648076923077|0.7288
81|601888|中国中免|26|15.0|10.0|1.0|0.0|0.0|2.062543451201|1.935384615385|2.348076923077|2.7104
82|002867|周大生|26|19.0|6.0|1.0|0.0|0.0|0.930566853735|1.0292|1.1544|1.28
83|000921|海信家电|26|18.0|8.0|0.0|0.0|0.0|2.417485480853|2.520769230769|2.804230769231|3.1068
84|600702|舍得酒业|26|12.0|14.0|0.0|0.0|0.0|1.039114329268|1.686538461538|2.026423076923|2.47872
85|600031|三一重工|26|22.0|4.0|0.0|0.0|0.0|0.649858413983|0.991192307692|1.2505|1.534653846154
